host_response;response_date;number_of_messages;automated_coding;latitude;longitude;bed_type;property_type;cancellation_policy;number_guests;bedrooms;bathrooms;cleaning_fee;price;apt_rating;property_setup;city;date_sent;listing_down;number_of_listings;number_of_reviews;member_since;verified_id;host_race;super_host;host_gender;host_age;host_gender_1;host_gender_2;host_gender_3;host_race_1;host_race_2;host_race_3;guest_first_name;guest_last_name;guest_race;guest_gender;guest_id;population;whites;blacks;asians;hispanics;available_september;up_not_available_september;september_price;census_tract;host_id;new_number_of_listings
4;07.07.2015 23:03;2;0;327.861;-967.951;Real Bed;Apartment;Moderate;2;2;2;30;119;5;Entire Place;Dallas;07.07.2015 18:26;0;2;23;Nov 12;1;white;-1;M;young;M;M;Null;white;white;Null;Tanisha;Jackson;black;female;15;75;67;5;3;5;0;1;119;1701;4181726;1
4;07.07.2015 22:48;\N;0;327.787;-967.911;NULL;Undefined;Strict;4;4;4;100;349;5;Entire Place;Dallas;07.07.2015 16:31;0;2;5;March 2015;1;white;-1;F;middle;F;F;Null;white;white;Null;Latoya;Williams;black;female;13;5518;3146;1609;175;1187;1;0;399;20400;29514625;2
-1;08.07.2015 20:23;2;1;327.804;-967.913;NULL;House;Moderate;5;5;5;45;270;04. Mai;Entire Place;Dallas;07.07.2015 16:09;0;1;26;Nov 14;1;white;-1;M;young;M;M;Null;white;white;Null;Latonya;Robinson;black;female;12;2474;1971;281;64;371;0;1;275;3101;23751816;1
2;07.07.2015 20:17;\N;0;327.789;-967.977;Real Bed;Undefined;Moderate;3;3;3;30;153;5;Entire Place;Dallas;07.07.2015 15:57;0;1;85;May 2012;1;black;-1;M;young;F;M;M;black;black;white;Todd;McCarthy;white;male;10;2474;1971;281;64;371;0;1;153;3101;2313336;1
2;07.07.2015 22:13;3;0;327.809;-968.049;Real Bed;Apartment;Flexible;2;2;2;50;60;-1;Private Room;Dallas;07.07.2015 16:30;0;1;0;July 2015;1;white;-1;MF;middle;MF;MF;Null;white;white;Null;Latoya;Williams;black;female;13;2474;1971;281;64;371;0;1;60;3101;37312347;1
2;08.07.2015 12:41;3;0;327.799;-96.8;Real Bed;Apartment;Moderate;3;3;3;25;130;5;Entire Place;Dallas;07.07.2015 14:45;0;1;15;February 2015;0;white;-1;MF;middle/young;MF;MF;Null;white;white;Null;Greg;O'Brien;white;male;7;2474;1971;281;64;371;\N;\N;\N;3101;27743441;1
-1;08.07.2015 18:48;\N;1;327.816;-968.013;Real Bed;Apartment;Flexible;4;4;4;-1;175;-1;Entire Place;Dallas;07.07.2015 14:47;0;1;2;Sep 14;1;unclear_three votes;-1;M;young/UU;M;M;M;white;UU;hisp;Greg;O'Brien;white;male;7;2474;1971;281;64;371;\N;\N;\N;3101;21144666;1
0;07.07.2015 17:11;\N;1;327.832;-968.047;Real Bed;Apartment;Flexible;2;2;2;-1;95;-1;Private Room;Dallas;07.07.2015 11:29;0;1;2;October 2012;0;black;-1;F;young;F;F;Null;black;black;Null;Meredith;O'Brien;white;female;5;1195;801;261;45;140;0;1;69;2100;3890789;1
-1;08.07.2015 22:36;\N;1;327.789;-967.998;NULL;Undefined;Strict;5;5;5;100;700;-1;Entire Place;Dallas;07.07.2015 18:36;0;1;0;Sep 14;1;white;-1;MF;young;MF;MF;Null;white;white;Null;Jermaine;Jones;black;male;18;2474;1971;281;64;371;\N;\N;\N;3101;21806747;1
2;08.07.2015 12:49;2;0;327.791;-967.862;Real Bed;Apartment;Flexible;2;2;2;-1;250;-1;Private Room;Dallas;07.07.2015 18:31;0;1;9;October 2013;1;white;-1;M;young;M;M;Null;white;white;Null;Darnell;Jackson;black;male;16;5518;3146;1609;175;1187;1;0;250;20400;9235939;1
-1;08.07.2015 00:26;\N;1;32.779;-967.866;Real Bed;Apartment;Flexible;2;2;2;-1;74;-1;Entire Place;Dallas;06.07.2015 20:26;0;1;0;May 2015;0;black;-1;M;young;M;M;Null;black;black;Null;Anne;Murphy;white;female;2;5518;3146;1609;175;1187;\N;\N;\N;20400;33311554;1
2;07.07.2015 18:50;5;0;327.784;-967.969;Real Bed;Undefined;Flexible;2;2;2;-1;150;-1;Entire Place;Dallas;07.07.2015 14:47;0;1;1;July 2014;0;white;-1;M;middle;M;M;Null;white;white;Null;Greg;O'Brien;white;male;7;2474;1971;281;64;371;\N;\N;\N;3101;19231871;1
1;08.07.2015 13:30;2;1;327.475;-972.899;Real Bed;Bed and Breakfast;Flexible;4;4;4;-1;69;4;Private Room;Dallas;07.07.2015 18:27;0;1;28;January 2011;0;white;-1;F;middle;F;F;Null;white;white;Null;Tanisha;Jackson;black;female;15;4328;2386;585;100;2166;\N;\N;\N;101500;342270;1
-1;09.07.2015 01:32;3;1;327.568;-972.453;NULL;Apartment;Moderate;2;2;2;20;49;5;Entire Place;Dallas;07.07.2015 21:32;0;1;60;July 2010;1;white;-1;F;middle;F;F;Null;white;white;Null;Kareem;Robinson;black;male;22;4931;2559;1283;188;1476;\N;\N;\N;101401;164105;1
0;07.07.2015 13:40;2;1;327.474;-971.792;NULL;Apartment;Strict;5;5;5;-1;120;5;Entire Place;Dallas;06.07.2015 23:50;0;1;7;January 2012;0;white;-1;MF;young/middle;mix;MF;MF;white;white;white;Laurie;Ryan;white;female;3;4943;1803;2510;169;695;0;1;120;106514;1625895;1
1;08.07.2015 02:12;2;1;327.533;-971.869;NULL;House;Flexible;5;5;5;-1;200;-1;Entire Place;Dallas;07.07.2015 18:27;0;1;0;February 2015;1;black;-1;F;young/middle;M;F;F;black;black;black;Tanisha;Jackson;black;female;15;4423;1408;2541;130;482;0;1;185;106512;28028193;1
-1;\N;\N;1;327.726;-971.903;Real Bed;House;Flexible;1;1;1;-1;70;-1;Private Room;Dallas;07.07.2015 18:27;0;1;0;March 2015;1;black;-1;F;middle/young;F;F;Null;black;black;Null;Tanisha;Jackson;black;female;15;6634;2711;2742;291;1459;1;0;70;106511;30228457;1
-1;08.07.2015 15:34;\N;1;327.542;-97.2;NULL;House;Flexible;6;6;6;-1;145;-1;Entire Place;Dallas;07.07.2015 11:34;0;2;0;February 2015;0;black;-1;F;middle;F;F;Null;black;black;Null;Brad;Walsh;white;male;6;5065;1789;2775;134;698;\N;\N;\N;106503;28028551;1
-1;08.07.2015 03:50;2;1;327.675;-96.781;Pull-out Sofa;Undefined;Strict;4;4;4;25;59;03. Mai;Shared Room;Dallas;06.07.2015 23:50;0;1;7;Aug 13;1;white;-1;MF;middle;MF;MF;MF;white;unclear;white;Laurie;Ryan;white;female;3;1146;189;826;1;165;0;1;59;3400;8239505;1
-1;08.07.2015 19:57;\N;1;327.679;-96.774;Real Bed;House;Flexible;2;2;2;75;91;-1;Private Room;Dallas;07.07.2015 15:57;0;1;3;May 2011;1;black;-1;F;middle/young;F;F;Null;black;black;Null;Todd;McCarthy;white;male;10;2568;189;2239;5;147;1;0;129;20300;572437;1
-1;08.07.2015 21:58;4;1;328.186;-967.074;Real Bed;Bed and Breakfast;Flexible;1;1;1;-1;50;5;Private Room;Dallas;07.07.2015 17:58;0;2;66;January 2014;1;white;-1;F;middle/young;F;F;Null;white;white;Null;Tamika;Williams;black;female;14;6265;5563;246;127;738;0;1;50;8100;11403322;1
4;07.07.2015 04:19;3;0;328.206;-967.095;Real Bed;House;Flexible;2;2;2;15;65;5;Private Room;Dallas;06.07.2015 23:52;0;1;15;May 2014;1;unclear_three votes;-1;F;middle/young;F;F;F;unclear;asian;white;Kristen;Sullivan;white;female;4;6265;5563;246;127;738;0;1;65;8100;16213597;1
1;08.07.2015 02:18;2;1;328.259;-967.033;Real Bed;House;Flexible;2;2;2;-1;250;5;Entire Place;Dallas;07.07.2015 14:55;0;1;19;Nov 11;1;white;-1;M;old/middle;M;M;Null;white;white;Null;Brent;Baker;white;male;8;6265;5563;246;127;738;1;0;250;8100;1407318;1
1;07.07.2015 16:12;2;0;328.201;-970.575;NULL;Apartment;Flexible;4;4;4;5;55;-1;Private Room;Dallas;07.07.2015 11:30;0;1;8;March 2010;1;hisp;-1;MF;middle/young;MF;MF;MF;hisp;white;hisp;Meredith;O'Brien;white;female;5;3115;1395;1104;274;675;1;0;58;106518;99273;1
0;07.07.2015 03:58;\N;1;327.957;-971.886;NULL;House;Flexible;2;2;2;-1;70;-1;Private Room;Dallas;06.07.2015 23:53;0;1;0;October 2014;1;mult;-1;mix;middle/young;mix;mix;Null;mult;mult;Null;Kristen;Sullivan;white;female;4;8129;5172;1155;939;1305;0;1;70;106510;22856087;1
1;07.07.2015 20:26;\N;1;327.718;-968.342;NULL;Undefined;Moderate;3;3;3;25;99;5;Entire Place;Dallas;07.07.2015 16:25;0;1;12;Apr 14;1;white;-1;MM;young;MM;MM;Null;white;white;Null;Latonya;Robinson;black;female;12;2375;1274;254;24;1972;\N;\N;\N;4300;14863611;1
1;07.07.2015 22:39;\N;1;327.711;-968.345;Real Bed;Apartment;Flexible;2;2;2;-1;149;-1;Entire Place;Dallas;07.07.2015 18:37;0;1;6;Sep 13;1;white;-1;M;young/middle;M;M;M;white;hisp;white;Jermaine;Jones;black;male;18;2375;1274;254;24;1972;0;1;149;4300;9005786;1
1;07.07.2015 18:54;2;1;329.078;-968.621;NULL;House;Moderate;5;5;5;120;129;-1;Entire Place;Dallas;07.07.2015 14:48;0;1;21;June 2013;1;white;-1;F;UU/young;F;F;Null;white;white;Null;Greg;O'Brien;white;male;7;3458;2781;121;72;1080;0;1;132;9607;6959904;1
1;07.07.2015 20:30;\N;1;329.001;-968.486;NULL;Bed and Breakfast;Flexible;4;4;4;-1;85;5;Private Room;Dallas;07.07.2015 11:35;0;1;8;January 2014;1;white;-1;M;old;M;M;Null;white;white;Null;Brad;Walsh;white;male;6;2880;2714;56;39;223;1;0;85;9609;11067935;1
1;08.07.2015 04:24;2;1;328.314;-967.635;Real Bed;House;Flexible;2;2;2;-1;89;5;Private Room;Dallas;07.07.2015 21:33;0;3;63;October 2012;1;white;-1;F;middle;F;F;Null;white;white;Null;Kareem;Robinson;black;male;22;3409;3081;48;80;375;0;1;89;202;3809024;2
5;07.07.2015 16:05;3;0;328.328;-967.801;Real Bed;Apartment;Strict;1;1;1;100;90;5;Private Room;Dallas;07.07.2015 11:25;0;2;13;Apr 13;1;white;-1;F;middle;F;F;Null;white;white;Null;Kristen;Sullivan;white;female;4;4080;3641;97;161;418;1;0;140;300;6136594;2
0;08.07.2015 02:26;2;1;328.313;-967.743;Real Bed;Apartment;Moderate;2;2;2;35;96;04. Mai;Entire Place;Dallas;07.07.2015 21:32;0;1;19;July 2013;1;white;-1;MM;UU/middle;MM;MM;Null;white;white;Null;Kareem;Robinson;black;male;22;4080;3641;97;161;418;\N;\N;\N;300;7737942;1
1;07.07.2015 20:56;2;1;328.364;-966.921;Real Bed;House;Moderate;2;2;2;-1;55;5;Private Room;Dallas;07.07.2015 16:31;0;1;3;Aug 10;0;white;-1;MF;young/middle;MF;MF;Null;white;white;Null;Latoya;Williams;black;female;13;3933;2819;646;50;741;0;1;55;8200;203686;1
-1;\N;\N;1;328.485;-968.143;Real Bed;Apartment;Flexible;2;2;2;10;110;-1;Private Room;Dallas;07.07.2015 14:48;0;1;2;Aug 14;1;unclear;-1;F;young;F;F;F;unclear;hisp;unclear;Greg;O'Brien;white;male;7;1854;1701;43;55;84;\N;\N;\N;7101;19837171;1
13;07.07.2015 20:18;4;0;328.998;-967.707;Real Bed;Apartment;Strict;2;2;2;30;50;04. Mai;Private Room;Dallas;07.07.2015 15:57;0;1;9;June 2013;1;black;-1;F;young;F;F;Null;black;black;Null;Todd;McCarthy;white;male;10;2827;2617;55;59;167;1;0;90;13101;7010121;1
1;07.07.2015 18:57;4;0;329.045;-967.826;NULL;House;Moderate;6;6;6;-1;500;-1;Entire Place;Dallas;07.07.2015 14:56;0;1;3;Sep 13;1;white;-1;M;middle;M;M;Null;white;white;Null;Brent;Baker;white;male;8;2827;2617;55;59;167;0;1;500;13101;8760427;1
1;07.07.2015 15:56;\N;0;328.501;-967.611;NULL;Undefined;Moderate;4;4;4;40;90;5;Entire Place;Dallas;07.07.2015 11:30;0;1;36;January 2015;1;white;-1;MF;young;MF;MF;Null;white;white;Null;Meredith;O'Brien;white;female;5;1860;1292;290;80;419;0;1;100;7913;25499216;1
0;07.07.2015 23:50;\N;0;32.843;-967.427;Real Bed;House;Strict;2;2;2;5;49;04. Mai;Private Room;Dallas;07.07.2015 11:30;0;2;60;Apr 14;1;mult;-1;MF;middle;MF;MF;Null;mult;mult;Null;Meredith;O'Brien;white;female;5;5081;4443;217;80;892;0;1;95;7902;13767774;1
0;08.07.2015 02:19;\N;0;329.042;-968.385;Real Bed;Apartment;Flexible;2;2;2;100;85;-1;Entire Place;Dallas;06.07.2015 20:27;0;1;0;Apr 15;0;white;-1;F;middle;F;F;Null;white;white;Null;Anne;Murphy;white;female;2;2880;2714;56;39;223;0;1;85;9609;31098330;1
-1;08.07.2015 20:32;2;1;328.053;-967.342;Real Bed;Apartment;Flexible;2;2;2;-1;80;-1;Private Room;Dallas;07.07.2015 16:33;0;1;3;May 2012;1;white;-1;MF;young;MF;MF;MF;mult;white;white;Latoya;Williams;black;female;13;3133;1865;533;57;1190;1;0;80;1202;2499331;1
0;07.07.2015 18:27;4;0;328.027;-967.584;Real Bed;House;Flexible;2;2;2;-1;75;04. Mai;Private Room;Dallas;07.07.2015 14:17;0;2;14;June 2014;1;white;-1;F;middle;F;F;Null;white;white;Null;Brad;Walsh;white;male;6;2828;1566;242;34;1490;0;1;75;1302;16633109;2
2;07.07.2015 22:56;3;0;328.062;-967.528;Real Bed;Bed and Breakfast;Flexible;2;2;2;-1;85;-1;Private Room;Dallas;07.07.2015 18:33;0;1;0;June 2015;0;white;-1;F;young;F;F;Null;white;white;Null;Jamal;Jones;black;male;17;2605;2157;114;42;579;1;0;85;1301;36592412;1
-1;08.07.2015 18:56;2;1;328.076;-967.539;Real Bed;Apartment;Flexible;2;2;2;-1;50;-1;Private Room;Dallas;07.07.2015 14:56;0;1;0;Apr 15;1;white;-1;F;young;F;F;Null;white;white;Null;Brent;Baker;white;male;8;2605;2157;114;42;579;\N;\N;\N;1301;31481487;1
2;07.07.2015 19:03;2;0;32.903;-967.391;Futon;House;Moderate;2;2;2;-1;60;5;Private Room;Dallas;07.07.2015 14:17;0;1;22;June 2012;1;hisp;-1;F;middle;F;F;Null;hisp;hisp;Null;Brad;Walsh;white;male;6;3953;2653;812;112;749;0;1;60;7810;2570310;1
1;07.07.2015 03:56;\N;1;32.912;-967.485;NULL;Apartment;Strict;5;5;5;100;135;-1;Entire Place;Dallas;06.07.2015 23:51;0;16;17;May 2015;1;white;-1;mix;young;mix;mix;Null;white;white;Null;Laurie;Ryan;white;female;3;5005;1106;3056;264;818;0;1;135;7804;34509409;5
-1;\N;\N;1;327.905;-967.912;Real Bed;Undefined;Strict;3;3;3;100;125;-1;Entire Place;Dallas;\N;0;16;17;May 2015;1;white;-1;mix;young;mix;mix;Null;white;white;Null;Laurie;Ryan;white;female;3;3696;1724;1519;159;563;0;1;125;1600;34509409;5
1;07.07.2015 22:30;2;0;329.241;-96.719;Real Bed;Apartment;Flexible;1;1;1;15;29;-1;Shared Room;Dallas;07.07.2015 18:27;0;1;1;February 2014;1;mult;-1;mix;middle;mix;mix;Null;mult;mult;Null;Tanisha;Jackson;black;female;15;3975;1189;1720;578;708;1;0;88;19034;12303679;1
4;07.07.2015 20:38;2;0;329.014;-967.576;NULL;House;Moderate;4;4;4;5;75;-1;Private Room;Dallas;07.07.2015 16:33;0;1;1;January 2015;0;white;-1;M;middle;M;M;Null;white;white;Null;Latoya;Williams;black;female;13;3261;2000;751;88;669;1;0;83;7805;26105595;1
1;07.07.2015 22:29;4;1;328.957;-967.223;NULL;House;Strict;7;7;7;175;150;04. Mai;Entire Place;Dallas;07.07.2015 18:28;0;1;7;October 2011;0;NA;-1;NA;NA;NA;NA;Null;NA;NA;Null;Tanisha;Jackson;black;female;15;4738;1331;2832;55;925;1;0;238;7811;1294455;1
1;08.07.2015 03:10;\N;0;328.806;-967.046;NULL;Undefined;Flexible;3;3;3;-1;55;-1;Entire Place;Dallas;07.07.2015 18:37;0;1;0;June 2015;0;white;-1;M;young;M;M;Null;white;white;Null;Jermaine;Jones;black;male;18;3339;3098;44;49;261;0;1;55;13005;35492283;1
1;08.07.2015 18:01;\N;1;328.947;-967.409;Real Bed;House;Flexible;1;1;1;-1;40;-1;Private Room;Dallas;07.07.2015 16:25;0;2;4;Sep 13;1;white;-1;F;young;F;F;Null;white;white;Null;Latonya;Robinson;black;female;12;2909;2731;42;73;120;0;1;40;7812;8857097;2
1;07.07.2015 03:00;\N;0;32.876;-966.913;Real Bed;House;Flexible;2;2;2;-1;85;-1;Private Room;Dallas;06.07.2015 23:42;0;1;3;Aug 13;1;mult;-1;mix;middle;mix;mix;Null;mult;mult;Null;Anne;Murphy;white;female;2;4794;2046;983;73;3224;1;0;85;13011;8361847;1
-1;\N;\N;1;328.673;-967.166;Real Bed;House;Moderate;2;2;2;20;75;-1;Private Room;Dallas;07.07.2015 15:58;0;1;0;June 2014;0;white;-1;MM;UU/young;UU;MM;MM;UU;white;white;Todd;McCarthy;white;male;10;6069;5520;268;78;421;1;0;85;13004;17067373;1
10;07.07.2015 15:48;2;0;328.885;-967.102;Real Bed;House;Strict;2;2;2;100;50;-1;Private Room;Dallas;06.07.2015 23:47;0;1;7;February 2010;0;white;-1;F;young/middle;F;F;Null;white;white;Null;Anne;Murphy;white;female;2;4824;2827;1421;73;944;\N;\N;\N;13009;78344;1
1;07.07.2015 14:13;\N;0;328.171;-967.361;Real Bed;House;Flexible;2;2;2;-1;70;5;Private Room;Dallas;06.07.2015 23:51;0;2;105;June 2011;1;white;-1;M;middle;M;M;Null;white;white;Null;Laurie;Ryan;white;female;3;4009;3552;101;61;533;0;1;70;100;711126;1
0;07.07.2015 20:36;2;0;32.83;-967.331;Real Bed;House;Flexible;1;1;1;-1;191;-1;Private Room;Dallas;07.07.2015 16:34;0;1;0;Aug 14;0;white;-1;M;middle;M;M;M;hisp;white;white;Latoya;Williams;black;female;13;6525;6211;30;124;392;\N;\N;\N;8000;20368241;1
1;08.07.2015 04:33;\N;0;328.236;-967.454;NULL;House;Strict;8;8;8;180;675;04. Mai;Entire Place;Dallas;07.07.2015 17:58;0;1;3;December 2014;0;unclear;-1;M;middle;M;M;Null;unclear;unclear;Null;Tamika;Williams;black;female;14;6525;6211;30;124;392;0;1;675;8000;24874604;1
0;07.07.2015 23:21;\N;0;328.191;-967.559;NULL;Undefined;Moderate;5;5;5;-1;100;5;Private Room;Dallas;07.07.2015 14:18;0;3;32;June 2014;1;white;-1;MF;middle/young;MF;mix;MF;white;white;white;Brad;Walsh;white;male;6;2284;2029;56;45;254;0;1;100;1102;17259462;2
1;07.07.2015 19:02;\N;1;32.826;-968.396;Real Bed;Apartment;Flexible;2;2;2;25;85;-1;Entire Place;Dallas;07.07.2015 14:51;0;2;7;February 2015;1;black;-1;M;middle;M;M;Null;black;black;Null;Greg;O'Brien;white;male;7;7200;4665;190;492;5852;1;0;113;406;27220461;2
-1;\N;\N;1;32.797;-967.781;Real Bed;Apartment;Moderate;2;2;2;25;90;04. Mai;Entire Place;Dallas;\N;0;2;7;February 2015;1;black;-1;M;middle;M;M;Null;black;black;Null;Jamal;Jones;black;male;17;2463;1380;410;111;1051;1;0;128;1504;27220461;2
